 # Grain size distribution: volume (A^3) ; No. of grains
   62227.124959999994                2
   83408.325943799995                8
   104589.52692759999               10
   125770.72791139998               10
   146951.92889519999                6
   168133.12987899999               13
   189314.33086279998               11
   210495.53184659997                8
   231676.73283039997                8
   252857.93381419996                7
   274039.13479799998                2
   295220.33578179998                5
   316401.53676559997                2
   337582.73774939997                1
   358763.93873319996                3
   379945.13971699995                1
   401126.34070079995                0
   422307.54168459994                1
   443488.74266839994                0
   464669.94365219993                1
   485851.14463599992                0
